Test Name,Initialization Type,Runtime (s)
Motzkin,1,0.82508
Robinson-1,1,0.82968
Robinson-2,1,3.9616
Choi-Lam-1,1,2.2934
Choi-Lam-2,1,0.94647
Horn,1,17.7671
Lax,1,5191.8625
Schmudgen,1,25.9375
Stengle-1,1,0.83452
Stengle-2,1,1.0625
Stengle-3,1,1.4163
Stengle-4,1,2.2639
Stengle-5,1,3.3073
Stengle-6,1,6.2831
Motzkin,2,2.4578
Robinson-1,2,2.8358
Robinson-2,2,17.0702
Choi-Lam-1,2,10.7449
Choi-Lam-2,2,5.5856
Horn,2,245.4707
Lax,2,8392.3285
Schmudgen,2,48.1443
Stengle-1,2,1.9642
Stengle-2,2,2.0987
Stengle-3,2,3.9707
Stengle-4,2,6.9441
Stengle-5,2,23.8046
Stengle-6,2,143.8025
